รหัสรายการ,วันที่,ห้อง,ชื่อลูกค้า,จำนวนเงิน,ช่องทางชำระ,ไฟล์ต้นทาง
RCP000219,1968-10-12 00:00:00,A108,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000220,1968-10-12 00:00:00,A108,1,500.0,3229,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000221,1968-10-12 00:00:00,B104,1,400.0,3629,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000222,1968-10-12 00:00:00,B105,1,400.0,4029,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000223,1968-10-12 00:00:00,N3,1,500.0,4529,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000982,1968-10-12 00:00:00,A106,1,500.0,Ascend,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000983,1968-10-12 00:00:00,A107,1,500.0,Ascend,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000984,1968-10-12 00:00:00,B106,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000985,1968-10-12 00:00:00,B106,1,400.0,3129,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000986,1968-10-12 00:00:00,B109,1,400.0,3529,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000987,1968-10-12 00:00:00,N2,1,500.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000988,1968-10-12 00:00:00,N2,1,500.0,3329,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000989,1968-10-12 00:00:00,A108,1,500.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000990,1968-10-12 00:00:00,A108,1,500.0,3229,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000991,1968-10-12 00:00:00,B104,1,400.0,3629,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000992,1968-10-12 00:00:00,B105,1,400.0,4029,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000993,1968-10-12 00:00:00,N3,1,500.0,4529,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000204,1968-09-12 00:00:00,B107,1,400.0,1729,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000205,1968-09-12 00:00:00,B105,1,400.0,1829,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000206,1968-09-12 00:00:00,N2,1,500.0,2029,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000207,1968-09-12 00:00:00,A111,1,400.0,2429,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000208,1968-09-12 00:00:00,B101,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000209,1968-09-12 00:00:00,B106,1,400.0,2829,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000210,1968-09-12 00:00:00,B107,1,400.0,3229,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000974,1968-09-12 00:00:00,B107,1,400.0,1729,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000975,1968-09-12 00:00:00,B105,1,400.0,1829,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000976,1968-09-12 00:00:00,N2,1,500.0,2029,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000977,1968-09-12 00:00:00,A111,1,400.0,2429,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000978,1968-09-12 00:00:00,B101,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000979,1968-09-12 00:00:00,B106,1,400.0,2829,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000980,1968-09-12 00:00:00,B107,1,400.0,3229,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000186,1968-08-12 00:00:00,B106,1,400.0,6449,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000189,1968-08-12 00:00:00,B105,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000190,1968-08-12 00:00:00,B105,1,400.0,1429,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000191,1968-08-12 00:00:00,N2,1,500.0,1929,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000192,1968-08-12 00:00:00,N7,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000193,1968-08-12 00:00:00,N7,1,500.0,1729,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000194,1968-08-12 00:00:00,B107,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000195,1968-08-12 00:00:00,B107,1,400.0,1629,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000196,1968-08-12 00:00:00,N3,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000197,1968-08-12 00:00:00,N3,1,500.0,1429,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000198,1968-08-12 00:00:00,B101,1,400.0,1829,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000199,1968-08-12 00:00:00,N4,1,600.0,2429,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000200,1968-08-12 00:00:00,B108,1,400.0,2829,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000201,1968-08-12 00:00:00,B104,1,400.0,3229,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000202,1968-08-12 00:00:00,B103,1,400.0,3629,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000956,1968-08-12 00:00:00,B106,1,400.0,6449,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000959,1968-08-12 00:00:00,B105,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000960,1968-08-12 00:00:00,B105,1,400.0,1429,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000961,1968-08-12 00:00:00,N2,1,500.0,1929,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000962,1968-08-12 00:00:00,N7,1,500.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000963,1968-08-12 00:00:00,N7,1,500.0,1729,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000964,1968-08-12 00:00:00,B107,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000965,1968-08-12 00:00:00,B107,1,400.0,1629,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000966,1968-08-12 00:00:00,N3,1,500.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000967,1968-08-12 00:00:00,N3,1,500.0,1429,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000968,1968-08-12 00:00:00,B101,1,400.0,1829,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000969,1968-08-12 00:00:00,N4,1,600.0,2429,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000970,1968-08-12 00:00:00,B108,1,400.0,2829,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000971,1968-08-12 00:00:00,B104,1,400.0,3229,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000972,1968-08-12 00:00:00,B103,1,400.0,3629,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000179,1968-07-12 00:00:00,B106,1,400.0,5349,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000180,1968-07-12 00:00:00,B109,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000182,1968-07-12 00:00:00,B107,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000183,1968-07-12 00:00:00,B107,1,400.0,5149,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000184,1968-07-12 00:00:00,B108,1,400.0,5549,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000185,1968-07-12 00:00:00,N2,1,500.0,6049,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000949,1968-07-12 00:00:00,B106,1,400.0,5349,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000950,1968-07-12 00:00:00,B109,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000952,1968-07-12 00:00:00,B107,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000953,1968-07-12 00:00:00,B107,1,400.0,5149,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000954,1968-07-12 00:00:00,B108,1,400.0,5549,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000955,1968-07-12 00:00:00,N2,1,500.0,6049,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000171,1968-06-12 00:00:00,N3,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000172,1968-06-12 00:00:00,N3,1,500.0,5004,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000173,1968-06-12 00:00:00,B110,1,400.0,5404,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000174,1968-06-12 00:00:00,B107,1,400.0,5814,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000175,1968-06-12 00:00:00,A105,1,400.0,6214,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000941,1968-06-12 00:00:00,N3,1,500.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000942,1968-06-12 00:00:00,N3,1,500.0,5004,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000943,1968-06-12 00:00:00,B110,1,400.0,5404,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000944,1968-06-12 00:00:00,B107,1,400.0,5814,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000945,1968-06-12 00:00:00,A105,1,400.0,6214,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000164,1968-05-12 00:00:00,N7,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000165,1968-05-12 00:00:00,N7,1,500.0,3714,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000166,1968-05-12 00:00:00,B106,1,400.0,4114,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000167,1968-05-12 00:00:00,B104,1,400.0,4514,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000168,1968-05-12 00:00:00,B105,1,400.0,4914,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000169,1968-05-12 00:00:00,N2,1,500.0,5414,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000934,1968-05-12 00:00:00,N7,1,500.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000935,1968-05-12 00:00:00,N7,1,500.0,3714,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000936,1968-05-12 00:00:00,B106,1,400.0,4114,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000937,1968-05-12 00:00:00,B104,1,400.0,4514,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000938,1968-05-12 00:00:00,B105,1,400.0,4914,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000939,1968-05-12 00:00:00,N2,1,500.0,5414,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000152,1968-04-12 00:00:00,B108,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000153,1968-04-12 00:00:00,B108,1,400.0,2434,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000154,1968-04-12 00:00:00,B104,1,400.0,2834,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000155,1968-04-12 00:00:00,B106,1,400.0,3234,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000156,1968-04-12 00:00:00,B107,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000157,1968-04-12 00:00:00,A104,1,400.0,3634,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000158,1968-04-12 00:00:00,A105,1,400.0,4034,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000159,1968-04-12 00:00:00,A106,1,500.0,4534,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000160,1968-04-12 00:00:00,B105,1,400.0,4934,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000161,1968-04-12 00:00:00,A103,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000162,1968-04-12 00:00:00,A103,1,400.0,4834,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000922,1968-04-12 00:00:00,B108,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000923,1968-04-12 00:00:00,B108,1,400.0,2434,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000924,1968-04-12 00:00:00,B104,1,400.0,2834,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000925,1968-04-12 00:00:00,B106,1,400.0,3234,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000926,1968-04-12 00:00:00,B107,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000927,1968-04-12 00:00:00,A104,1,400.0,3634,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000928,1968-04-12 00:00:00,A105,1,400.0,4034,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000929,1968-04-12 00:00:00,A106,1,500.0,4534,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000930,1968-04-12 00:00:00,B105,1,400.0,4934,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000931,1968-04-12 00:00:00,A103,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000932,1968-04-12 00:00:00,A103,1,400.0,4834,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000136,1968-03-12 00:00:00,B104,1,400.0,2504,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000137,1968-03-12 00:00:00,B106,1,400.0,2904,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000138,1968-03-12 00:00:00,N7,1,500.0,3404,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000139,1968-03-12 00:00:00,N7,1,500.0,3904,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000140,1968-03-12 00:00:00,A104,1,400.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000141,1968-03-12 00:00:00,A104,1,400.0,3804,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000142,1968-03-12 00:00:00,B105,1,400.0,4204,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000143,1968-03-12 00:00:00,A105,1,400.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000144,1968-03-12 00:00:00,A102,1,400.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000145,1968-03-12 00:00:00,B110,1,400.0,4604,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000146,1968-03-12 00:00:00,A111,1,400.0,5004,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000147,1968-03-12 00:00:00,A111,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000148,1968-03-12 00:00:00,A111,1,400.0,4904,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000149,1968-03-12 00:00:00,B107,1,400.0,5304,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000906,1968-03-12 00:00:00,B104,1,400.0,2504,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000907,1968-03-12 00:00:00,B106,1,400.0,2904,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000908,1968-03-12 00:00:00,N7,1,500.0,3404,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000909,1968-03-12 00:00:00,N7,1,500.0,3904,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000910,1968-03-12 00:00:00,A104,1,400.0,Ascend,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000911,1968-03-12 00:00:00,A104,1,400.0,3804,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000912,1968-03-12 00:00:00,B105,1,400.0,4204,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000913,1968-03-12 00:00:00,A105,1,400.0,Ascend,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000914,1968-03-12 00:00:00,A102,1,400.0,Ascend,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000915,1968-03-12 00:00:00,B110,1,400.0,4604,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000916,1968-03-12 00:00:00,A111,1,400.0,5004,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000917,1968-03-12 00:00:00,A111,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000918,1968-03-12 00:00:00,A111,1,400.0,4904,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000919,1968-03-12 00:00:00,B107,1,400.0,5304,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000121,1968-02-12 00:00:00,B107,1,400.0,5912,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000122,1968-02-12 00:00:00,A103,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000125,1968-02-12 00:00:00,B106,1,400.0,4792,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000126,1968-02-12 00:00:00,B104,1,400.0,5192,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000127,1968-02-12 00:00:00,A105,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000128,1968-02-12 00:00:00,A105,1,400.0,5092,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000129,1968-02-12 00:00:00,B105,1,400.0,5492,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000130,1968-02-12 00:00:00,N6,1,600.0,6092,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000131,1968-02-12 00:00:00,B108,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000132,1968-02-12 00:00:00,B108,1,400.0,5992,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000891,1968-02-12 00:00:00,B107,1,400.0,5712,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000892,1968-02-12 00:00:00,A103,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000895,1968-02-12 00:00:00,B106,1,400.0,4792,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000896,1968-02-12 00:00:00,B104,1,400.0,5192,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000897,1968-02-12 00:00:00,A105,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000898,1968-02-12 00:00:00,A105,1,400.0,5092,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000899,1968-02-12 00:00:00,B105,1,400.0,5492,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000900,1968-02-12 00:00:00,N6,1,600.0,6092,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000901,1968-02-12 00:00:00,B108,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000902,1968-02-12 00:00:00,B108,1,400.0,5992,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000115,1968-01-12 00:00:00,B106,1,400.0,3112,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000116,1968-01-12 00:00:00,N2,1,500.0,3612,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000117,1968-01-12 00:00:00,B103,1,400.0,4012,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000118,1968-01-12 00:00:00,B105,1,400.0,4412,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000119,1968-01-12 00:00:00,B107,1,400.0,4812,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000120,1968-01-12 00:00:00,N7,1,500.0,5312,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000885,1968-01-12 00:00:00,B106,1,400.0,3112,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000886,1968-01-12 00:00:00,N2,1,500.0,3612,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000887,1968-01-12 00:00:00,B103,1,400.0,4012,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000888,1968-01-12 00:00:00,B105,1,400.0,4412,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000889,1968-01-12 00:00:00,B107,1,400.0,4812,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000890,1968-01-12 00:00:00,N7,1,500.0,5312,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000211,1967-10-12 00:00:00,A111,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000981,1967-10-12 00:00:00,A111,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000332,19/12/1968,B208,2,400.0,4778,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000333,19/12/1968,B209,2,400.0,5178,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000334,19/12/1968,A101,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000335,19/12/1968,A101,1,400.0,5078,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000336,19/12/1968,A102,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000337,19/12/1968,A102,1,400.0,4978,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000338,19/12/1968,B207,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000339,19/12/1968,B207,2,400.0,4878,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000340,19/12/1968,A104,1,400.0,5278,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000341,19/12/1968,A105,1,400.0,5678,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000342,19/12/1968,A105,1,400.0,5778,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000343,19/12/1968,A103,1,400.0,6178,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000344,19/12/1968,A111,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000345,19/12/1968,B203,2,400.0,6578,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000346,19/12/1968,B202,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000347,19/12/1968,B202,2,400.0,6478,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000348,19/12/1968,N7,1,500.0,6978,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000349,19/12/1968,B204,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000035,19/01/2026,B102,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000036,19/01/2026,B101,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000037,19/01/2026,B109,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000038,19/01/2026,B110,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000039,19/01/2026,N3,1,500.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000105,19/01/2026,N7,1,500.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000106,19/01/2026,B105,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000107,19/01/2026,B103,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000109,19/01/2026,A111,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000110,19/01/2026,A103,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000321,18/12/1968,A111,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000322,18/12/1968,B102,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000323,18/12/1968,B102,1,400.0,1114,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000324,18/12/1968,A106,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000325,18/12/1968,A106,1,500.0,1014,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000326,18/12/1968,N7,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000327,18/12/1968,N7,1,500.0,814,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000328,18/12/1968,B101,1,400.0,1214,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000034,18/01/2026,A106,1,500.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000099,18/01/2026,A105,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000100,18/01/2026,B111,1,500.0,Ascend,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000101,18/01/2026,B106,1,400.0,ค่าแอร์ไฟ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000102,18/01/2026,B106,1,400.0,ออกมัดจำ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000103,18/01/2026,B108,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000299,17/12/1968,A105,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000301,17/12/1968,A103,1,400.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
